IP Address,Computer Name,MAC Address,Network Adapter Company,User Text,Status,Workgroup,Broadcast Address,Port Number,Multiple Packets,Index
172.20.10.1,,CE-20-E8-7C-1E-64,,,On,,,,,1
172.20.10.2,DESKTOP-2CPSS2P,44-85-00-A3-76-A9,Intel Corporate,,On,,,,,2
